DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 131230,SENSOR,-2873.92 ,6685082.09 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 131320,SENSOR,-2934.98 ,6685025.41 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 131410,SENSOR,-2996.05 ,6684968.74 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 131500,SENSOR,-3057.11 ,6684912.07 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 131550,SENSOR,-3118.17 ,6684855.39 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 131640,SENSOR,-3179.24 ,6684798.72 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 131730,SENSOR,-3240.30 ,6684742.04 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 131820,SENSOR,-3301.36 ,6684685.37 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 131910,SENSOR,-3362.41 ,6684628.69 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 132000,SENSOR,-3423.47 ,6684572.02 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 132050,SENSOR,-3493.40 ,6684518.02 ,-0.00 ,217.41 ,1.29 ,340.00 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132140,SENSOR,-3579.79 ,6684470.30 ,-0.00 ,226.62 ,1.29 ,340.98 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132230,SENSOR,-3680.43 ,6684430.07 ,-0.00 ,235.83 ,1.29 ,342.04 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132320,SENSOR,-3792.70 ,6684398.37 ,-0.00 ,245.04 ,1.29 ,343.16 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132410,SENSOR,-3913.71 ,6684376.03 ,-0.00 ,254.25 ,1.29 ,344.33 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132500,SENSOR,-4040.36 ,6684363.62 ,-0.00 ,263.46 ,1.29 ,345.52 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132550,SENSOR,-4169.36 ,6684361.45 ,-0.00 ,272.67 ,1.29 ,346.72 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132640,SENSOR,-4297.40 ,6684369.59 ,-0.00 ,281.89 ,1.29 ,347.89 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132730,SENSOR,-4421.16 ,6684387.83 ,-0.00 ,291.10 ,1.29 ,349.03 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132820,SENSOR,-4537.47 ,6684415.69 ,-0.00 ,300.31 ,1.29 ,350.12 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132910,SENSOR,-4643.32 ,6684452.45 ,-0.00 ,309.52 ,1.29 ,351.12 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133000,SENSOR,-4735.97 ,6684497.17 ,-0.00 ,318.73 ,1.29 ,352.03 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133050,SENSOR,-4813.05 ,6684548.70 ,-0.00 ,327.94 ,1.29 ,352.81 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133140,SENSOR,-4872.56 ,6684605.70 ,-0.00 ,337.15 ,1.29 ,353.45 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133230,SENSOR,-4912.97 ,6684666.71 ,-0.00 ,346.36 ,1.29 ,353.93 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133320,SENSOR,-4933.46 ,6684730.14 ,-0.00 ,354.21 ,1.29 ,354.21 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133410,SENSOR,-4946.31 ,6684794.13 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133500,SENSOR,-4959.15 ,6684858.11 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133550,SENSOR,-4971.99 ,6684922.10 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133640,SENSOR,-4984.84 ,6684986.09 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133730,SENSOR,-4997.68 ,6685050.07 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133820,SENSOR,-5010.53 ,6685114.06 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133910,SENSOR,-5023.37 ,6685178.05 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134000,SENSOR,-5036.22 ,6685242.04 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134050,SENSOR,-5049.07 ,6685306.02 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134140,SENSOR,-5061.91 ,6685370.01 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134230,SENSOR,-5074.76 ,6685434.00 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134320,SENSOR,-5087.60 ,6685497.98 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134410,SENSOR,-5100.45 ,6685561.97 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134500,SENSOR,-5113.30 ,6685625.96 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134550,SENSOR,-5126.14 ,6685689.95 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134640,SENSOR,-5138.99 ,6685753.93 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134730,SENSOR,-5151.84 ,6685817.92 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134820,SENSOR,-5164.69 ,6685881.91 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134910,SENSOR,-5177.53 ,6685945.89 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135000,SENSOR,-5190.38 ,6686009.88 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135050,SENSOR,-5203.23 ,6686073.87 ,-0.00 ,354.30 ,1.29 ,354.30 ,1.29 ,-0.00 ,100.00 ,sensor route:leg two:Heading for target location
